cluster_id,n_voxels,peak_value,peak_i,peak_j,peak_k,peak_x,peak_y,peak_z,com_x,com_y,com_z,HO_cortical_label,HO_subcortical_label,best_label
504,1,1.0,24,51,0,-42.341101974248886,-11.471012532711029,-74.82363891601562,-42.341101974248886,-11.471012532711029,-74.82363891601562,,,
505,3,1.0,24,53,3,-42.51763144135475,-7.474909722805023,-68.82363891601562,-42.57647459705671,-6.142875452836364,-70.82363891601562,,,
506,1,1.0,24,53,9,-42.51763144135475,-7.474909722805023,-56.823638916015625,-42.51763144135475,-7.474909722805023,-56.823638916015625,,,
507,1,1.0,24,54,71,-42.605896174907684,-5.47685831785202,67.17636108398438,-42.605896174907684,-5.47685831785202,67.17636108398438,,,
508,4,1.0,24,55,43,-42.69416090846062,-3.4788069128990173,11.176361083984375,-42.21671546250582,-2.9572279322892427,10.176361083984375,Central Opercular Cortex,Left Cerebral Cortex,Central Opercular Cortex
509,2,1.0,24,55,54,-42.69416090846062,-3.4788069128990173,33.176361083984375,-42.73829327523708,-2.479781210422516,33.176361083984375,Precentral Gyrus,Left Cerebral White Matter,Precentral Gyrus
510,5,1.0,24,56,6,-42.78242564201355,-1.4807555079460144,-62.823638916015625,-41.654209518432616,0.1706443265080395,-60.823638916015625,,,
511,1,1.0,24,57,10,-42.87069037556648,0.5172958970069885,-54.823638916015625,-42.87069037556648,0.5172958970069885,-54.823638916015625,,,
512,4,1.0,24,58,4,-42.958955109119415,2.5153473019599915,-66.82363891601562,-41.98199803382158,3.05899241194129,-68.32363891601562,,,
513,1,1.0,24,58,40,-42.958955109119415,2.5153473019599915,5.176361083984375,-42.958955109119415,2.5153473019599915,5.176361083984375,Central Opercular Cortex,Left Cerebral Cortex,Central Opercular Cortex
514,1,1.0,24,59,49,-43.04721984267235,4.513398706912994,23.176361083984375,-43.04721984267235,4.513398706912994,23.176361083984375,Precentral Gyrus,Left Cerebral Cortex,Precentral Gyrus
515,2,1.0,24,61,56,-43.22374930977821,8.509501516819,37.176361083984375,-42.22472605109215,8.553633775562048,37.176361083984375,Middle Frontal Gyrus,Left Cerebral Cortex,Middle Frontal Gyrus
516,1,1.0,24,66,46,-43.66507297754288,18.499758541584015,17.176361083984375,-43.66507297754288,18.499758541584015,17.176361083984375,"Inferior Frontal Gyrus, pars opercularis",Left Cerebral White Matter,"Inferior Frontal Gyrus, pars opercularis"
517,1,1.0,24,69,20,-43.929867178201675,24.493912756443024,-34.823638916015625,-43.929867178201675,24.493912756443024,-34.823638916015625,,,
518,1,1.0,24,69,28,-43.929867178201675,24.493912756443024,-18.823638916015625,-43.929867178201675,24.493912756443024,-18.823638916015625,Frontal Orbital Cortex,Left Cerebral Cortex,Frontal Orbital Cortex
519,1,1.0,24,73,19,-44.282926112413406,32.486118376255035,-36.823638916015625,-44.282926112413406,32.486118376255035,-36.823638916015625,,,
520,4,1.0,24,75,54,-44.45945557951927,36.48222118616104,33.176361083984375,-44.004076316952705,37.50331301800907,33.676361083984375,Middle Frontal Gyrus,Left Cerebral Cortex,Middle Frontal Gyrus
521,4,1.0,24,89,47,-45.69516184926033,64.45494085550308,19.176361083984375,-44.3069578781724,67.01870349980891,19.176361083984375,,,
522,2,1.0,24,93,42,-46.04822078347206,72.4471464753151,9.176361083984375,-45.00506515800953,71.49225303158164,9.176361083984375,,,
523,2,1.0,24,93,56,-46.04822078347206,72.4471464753151,37.176361083984375,-46.09235315024853,73.4461721777916,37.176361083984375,,,
524,2,1.0,24,96,34,-46.31301498413086,78.4413006901741,-6.823638916015625,-46.357147350907326,79.4403263926506,-7.823638916015625,,,
525,1,1.0,24,98,49,-46.489544451236725,82.43740350008011,23.176361083984375,-46.489544451236725,82.43740350008011,23.176361083984375,,,
526,5,1.0,25,16,47,-37.25378978252411,-81.31454718858004,19.176361083984375,-36.107920712232584,-80.06275763511658,18.77636108398437,"Lateral Occipital Cortex, superior division",Left Cerebral Cortex,"Lateral Occipital Cortex, superior division"
527,4,1.0,25,17,23,-37.34205451607704,-79.31649578362703,-28.823638916015625,-34.43324947357178,-77.18604760244489,-29.323638916015625,,,
528,5,1.0,25,18,29,-37.430319249629974,-77.31844437867403,-16.823638916015625,-35.43227273225784,-77.23017986118793,-20.023638916015628,"Lateral Occipital Cortex, inferior division",Left Cerebral Cortex,"Lateral Occipital Cortex, inferior division"
529,1,1.0,25,25,62,-38.0481723845005,-63.33208454400301,49.176361083984375,-38.0481723845005,-63.33208454400301,49.176361083984375,"Lateral Occipital Cortex, superior division",Left Cerebral Cortex,"Lateral Occipital Cortex, superior division"
530,1,1.0,25,26,28,-38.136437118053436,-61.33403313905001,-18.823638916015625,-38.136437118053436,-61.33403313905001,-18.823638916015625,Temporal Occipital Fusiform Cortex,Left Cerebral Cortex,Temporal Occipital Fusiform Cortex
531,5,1.0,25,27,49,-38.22470185160637,-59.335981734097004,23.176361083984375,-36.626264637708665,-59.26537012010813,23.176361083984375,Angular Gyrus,Left Cerebral White Matter,Angular Gyrus
532,1,1.0,25,32,50,-38.66602551937103,-49.34572470933199,25.176361083984375,-38.66602551937103,-49.34572470933199,25.176361083984375,,Left Cerebral White Matter,Left Cerebral White Matter
533,1,1.0,25,34,29,-38.8425549864769,-45.34962189942598,-16.823638916015625,-38.8425549864769,-45.34962189942598,-16.823638916015625,Temporal Occipital Fusiform Cortex,Left Cerebral Cortex,Temporal Occipital Fusiform Cortex
534,1,1.0,25,34,31,-38.8425549864769,-45.34962189942598,-12.823638916015625,-38.8425549864769,-45.34962189942598,-12.823638916015625,,Left Cerebral White Matter,Left Cerebral White Matter
535,1,1.0,25,36,3,-39.019084453582764,-41.35351908951998,-68.82363891601562,-39.019084453582764,-41.35351908951998,-68.82363891601562,,,
536,1,1.0,25,38,17,-39.19561392068863,-37.35741627961397,-40.823638916015625,-39.19561392068863,-37.35741627961397,-40.823638916015625,,,
537,1,1.0,25,40,9,-39.372143387794495,-33.361313469707966,-56.823638916015625,-39.372143387794495,-33.361313469707966,-56.823638916015625,,,
538,1,1.0,25,40,47,-39.372143387794495,-33.361313469707966,19.176361083984375,-39.372143387794495,-33.361313469707966,19.176361083984375,Parietal Opercular Cortex,Left Cerebral Cortex,Parietal Opercular Cortex
539,1,1.0,25,42,68,-39.54867285490036,-29.36521065980196,61.176361083984375,-39.54867285490036,-29.36521065980196,61.176361083984375,Postcentral Gyrus,Left Cerebral Cortex,Postcentral Gyrus
